file,name,start_line,end_line,comment,params
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/color.js,Color.parse,14,36," Essential: Parse a {String} or {Object} into a {Color}... * `value` A {String} such as `'white'`, `#ff00ff`, or.   `'rgba(255, 15, 60, .75)'` or an {Object} with `red`, `green`, `blue`,.   and `alpha` properties... Returns a {Color} or `null` if it cannot be parsed.",value:string
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/theme-manager.js,ThemeManager.onDidChangeActiveThemes,55,57,"
  Section: Event Subscription
  . Essential: Invoke `callback` when style sheet changes associated with. updating the list of active themes have completed... * `callback` {Function}.. Returns a {Disposable} on which `.dispose()` can be called to unsubscribe.",callback:function
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/main-process/application-menu.js,ApplicationMenu.showUpdateMenuItem,109,140, Sets the proper visible state the update menu items,state:
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/main-process/context-menu.js,ContextMenu.createClickHandlers,15,32," It's necessary to build the event handlers in this process, otherwise. closures are dragged across processes and failed to be garbage collected. appropriately.",template:
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/text-editor-registry.js,TextEditorRegistry.remove,122,126, Remove a `TextEditor`... * `editor` The editor to remove... Returns a {Boolean} indicating whether the editor was successfully removed.,editor:
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/text-editor-registry.js,TextEditorRegistry.remove,122,126, Remove a `TextEditor`... * `editor` The editor to remove... Returns a {Boolean} indicating whether the editor was successfully removed.,editor:
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/clipboard.js,Clipboard.write,42,46, Public: Write the given text to the clipboard... The metadata associated with the text is available by calling. {::readWithMetadata}... * `text` The {String} to store.. * `metadata` (optional) The additional info to associate with the text.,"text:string,optional;metadata:optional"
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/main-process/win-powershell.js,spawnPowershell,13,28, Spawn powershell.exe and callback when it completes,args:;callback:
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/color.js,Color.parse,14,36," Essential: Parse a {String} or {Object} into a {Color}... * `value` A {String} such as `'white'`, `#ff00ff`, or.   `'rgba(255, 15, 60, .75)'` or an {Object} with `red`, `green`, `blue`,.   and `alpha` properties... Returns a {Color} or `null` if it cannot be parsed.",value:string
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/main-process/application-menu.js,ApplicationMenu.acceleratorForCommand,221,224, Determine the accelerator for a given command... command - The name of the command.. keystrokesByCommand - An Object where the keys are commands and the values.                       are Arrays containing the keystroke... Returns a String containing the keystroke in a format that can be interpreted.   by Electron to provide nice icons where available.,command:object;keystrokesByCommand:object
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/main-process/application-menu.js,ApplicationMenu.translateTemplate,198,211, Combines a menu template with the appropriate keystroke... template - An Object conforming to atom-shell's menu api but lacking.            accelerator and click properties.. keystrokesByCommand - An Object where the keys are commands and the values.                       are Arrays containing the keystroke... Returns a complete menu configuration object for atom-shell's menu API.,template:object;keystrokesByCommand:object
E:/research/parameterMismatch/parametermismatch/dataset/atom/src/cursor.js,Cursor.compare,654,656,"
  Section: Visibility
  .
  Section: Comparing to another cursor
  . Public: Compare this cursor's buffer position to another cursor's buffer position... See {Point::compare} for more details... * `otherCursor`{Cursor} to compare against",otherCursor:
