prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/karma.conf.js,8,,exports
other,other%boolean%ithenable%undefined%function,0,run,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,43,,run
object,object%string%other%array%promise,0,bower task,generate bower json manifest file push along release tags. spec http github com bower spec blob master json md,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,65,,bowerTask
other,other%object%function%array%request,0,build task,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,87,,buildTask
object,object%other%array%array.<function()>%ithenable,0,package task,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,91,,packageTask
array,array%other%string%object%ithenable,0,lint j task,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,106,,lintJsTask
other,other%array%function%boolean%string,0,lint html task,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,130,,lintHtmlTask
other,other%object%function%array%jquery,0,doc task,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,137,,docsTask
other,other%object%void%array%string,0,unittest task,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,145,,unittestTask
other,other%number%object%array%void,0,library size task,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,162,,librarySizeTask
object,object%array%other%number%array.<object>,0,module size task,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/gulpfile.js,169,,moduleSizesTask
number,number%other%string%boolean%void,0,srand,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/utils.js,46,,srand
number,number%other%string%justmath.vec2%lf.predicate,0,rand,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/utils.js,50,,rand
number,number%other%i18n.phonenumbers.phonenumber%integer%string,0,number,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/utils.js,58,,numbers
string,string%other%htmlelement%jquery%object,0,label,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/utils.js,82,,labels
number,number%other%element%number|string%object,0,month,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/utils.js,101,,months
string,string%cc.color%other%array%number,0,color,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/utils.js,116,,color
other,other%void%mixed%string%number,0,transparentize,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/utils.js,120,,transparentize
number,number%float%array.<number>%number|undefined%other,0,random scale factor,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/utils.js,127,,randomScalingFactor
void,void%boolean%undefined%function%other,0,before init,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/charts/area/analyser.js,9,,beforeInit
void,void%function%undefined%boolean%other,0,after update,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/samples/charts/area/analyser.js,13,,afterUpdate
array,array%string%object%promise%other,0,read file,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/test/fixture.js,7,,readFile
boolean,boolean%undefined%void%other%string,0,onreadystatechange,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/test/fixture.js,9,,onreadystatechange
object,object%other%function%void%undefined,0,load config,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/test/fixture.js,19,,loadConfig
other,other%object%string%array.<object>%array.<!object>,0,spec from fixture,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/test/fixture.js,41,,specFromFixture
other,other%object%string%array.<object>%array.<!object>,0,spec from fixture,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/test/fixture.js,60,,specsFromFixtures
number,number%boolean%integer%int%google.maps.latlng,0,to percent,,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/test/matchers.js,6,,toPercent
