prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
number,number%other%object%string%string|number,1,chart,index mode,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.interaction.js,218,,chart
number,number%other%object%string%string|number,1,e,index mode,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.interaction.js,218,,e
number,number%other%integer%string%boolean,1,,index mode,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.interaction.js,218,None,
number,number%string%other%array%integer,1,dataset index,id match,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.linear.js,45,,datasetIndex
number,number%string%other%array%integer,1,dataset index,id match,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.logarithmic.js,96,,datasetIndex
boolean,boolean%number%integer%other%array,1,me,get pixel for grid line,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.scale.js,798,,me
number,number%integer%int%other%r.math.point2d,1,index,get pixel for grid line,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.scale.js,798,,index
number,number%integer%int%other%openseadragon.point,1,grid line offset grid line,get pixel for grid line,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.scale.js,798,,gridLines.offsetGridLines
object,object%other%boolean%string%mixed,1,,from native event,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,417,None,
number,number%string%other%array%integer,1,dataset index,id match,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.linear.js,75,,datasetIndex
number,number%string%other%array%integer,1,dataset index,id match,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.logarithmic.js,115,,datasetIndex
function,function%string%boolean%other%object,1,body item before,push or concat,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,515,,bodyItem.before
string,string%function%other%object%array,1,,push or concat,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,515,None,
other,other%function%boolean|string%array%array.<string>,1,body item before,split newlines,,,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,515,,bodyItem.before
