,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,chart,index mode,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.interaction.js,218,chart,,,
1,e,index mode,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.interaction.js,218,e,,,
2,,index mode,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.interaction.js,218,,,,None
3,dataset index,id match,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.linear.js,45,datasetIndex,,,
4,dataset index,id match,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.logarithmic.js,96,datasetIndex,,,
5,me,get pixel for grid line,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.scale.js,798,me,,,
6,index,get pixel for grid line,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.scale.js,798,index,,,
7,grid line offset grid line,get pixel for grid line,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.scale.js,798,gridLines.offsetGridLines,,,
8,,from native event,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,417,,,,None
9,dataset index,id match,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.linear.js,75,datasetIndex,,,
10,dataset index,id match,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.logarithmic.js,115,datasetIndex,,,
11,body item before,push or concat,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,515,bodyItem.before,,,
12,,push or concat,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,515,,,,None
13,body item before,split newlines,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,515,bodyItem.before,,,
14,,split newlines,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,515,,,,None
15,body item line,push or concat,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,516,bodyItem.lines,,,
16,,push or concat,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,516,,,,None
17,body item after,push or concat,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,517,bodyItem.after,,,
18,,push or concat,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,517,,,,None
19,body item after,split newlines,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,517,bodyItem.after,,,
20,,split newlines,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,517,,,,None
21,label opts,get box width,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,246,labelOpts,,,
22,font size,get box width,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,246,fontSize,,,
23,me,draw radius line,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,491,me,,,
24,grid line opts,draw radius line,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,491,gridLineOpts,,,
25,y center offset,draw radius line,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,491,yCenterOffset,,,
26,index,draw radius line,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.radialLinear.js,491,index,,,
27,node,add event listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,242,node,,,
28,type,add event listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,242,type,,,
29,proxy,add event listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,242,proxy,,,
30,label opts,get box width,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,276,labelOpts,,,
31,font size,get box width,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,276,fontSize,,,
32,node,remove event listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,261,node,,,
33,type,remove event listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,261,type,,,
34,proxy,remove event listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,261,proxy,,,
35,x,draw legend box,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,444,x,,,
36,y,draw legend box,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,444,y,,,
37,legend item,draw legend box,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,444,legendItem,,,
38,x,fill text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,450,x,,,
39,y,fill text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,450,y,,,
40,legend item,fill text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,450,legendItem,,,
41,text width,fill text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,450,textWidth,,,
42,dataset index,id match,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.linear.js,107,datasetIndex,,,
43,dataset index,id match,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.logarithmic.js,145,datasetIndex,,,
44,,create event,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,276,,,,None
45,scale option position,position be horizontal,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.controller.js,270,scaleOptions.position,,,
46,scale option position,position be horizontal,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.controller.js,270,scaleOptions.position,,,
47,line,fill line of text,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.tooltip.js,801,line,,,
48,tval,be object,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,202,tval,,,
49,tval,be object,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,202,tval,,,
50,sval,clone,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,205,sval,,,
51,tval,be object,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,217,tval,,,
52,tval,be object,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,217,tval,,,
53,sval,clone,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,220,sval,,,
54,font,to font string,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.options.js,106,font,,,
55,item,init canvas,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,369,item,,,
56,config,init canvas,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,369,config,,,
57,canvas,add resize listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,410,canvas,,,
58,listener,add resize listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,410,listener,,,
59,chart,add resize listener,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/platforms/platform.dom.js,410,chart,,,
60,el,decode fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,277,el,,,
61,i,decode fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,277,i,,,
62,count,decode fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,277,count,,,
63,source,resolve target,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,293,sources,,,
64,i,resolve target,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,293,i,,,
65,propagate,resolve target,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,293,propagate,,,
66,source,compute boundary,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,294,source,,,
67,source,create mapper,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,295,source,,,
68,v,array equal,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,155,v0,,,
69,v,array equal,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/helpers/helpers.core.js,155,v1,,,
70,ctx,do fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,314,ctx,,,
71,point,do fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,314,points,,,
72,mapper,do fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,314,mapper,,,
73,view,do fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,314,view,,,
74,color,do fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,314,color,,,
75,el. loop,do fill,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.filler.js,314,el._loop,,,
76,chart,create new legend and attach,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,545,chart,,,
77,legend opts,create new legend and attach,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,545,legendOpts,,,
78,chart,create new title block and attach,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.title.js,223,chart,,,
79,title opts,create new title block and attach,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.title.js,223,titleOpts,,,
80,chart,create new legend and attach,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,560,chart,,,
81,legend opts,create new legend and attach,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.legend.js,560,legendOpts,,,
82,chart,create new title block and attach,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.title.js,238,chart,,,
83,title opts,create new title block and attach,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/plugins/plugin.title.js,238,titleOpts,,,
84,me. data,unlisten array event,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.datasetController.js,195,me._data,,,
85,me,unlisten array event,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.datasetController.js,195,me,,,
86,data,listen array event,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.datasetController.js,198,data,,,
87,me,listen array event,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/core/core.datasetController.js,198,me,,,
88,numeric generator option,generate tick,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.linearbase.js,171,numericGeneratorOptions,,,
89,me,generate tick,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.linearbase.js,171,me,,,
90,generation option,generate tick,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.logarithmic.js,224,generationOptions,,,
91,me,generate tick,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.logarithmic.js,224,me,,,
92,min,generate,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,618,min,,,
93,max,generate,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,618,max,,,
94,,generate,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,618,,,,None
95,option,generate,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,618,options,,,
96,time opts min,parse,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,627,timeOpts.min,,,
97,me,parse,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,627,me,,,
98,time opts max,parse,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,628,timeOpts.max,,,
99,me,parse,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,628,me,,,
100,tick,determine unit for format,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,642,ticks,,,
101,time opts min unit,determine unit for format,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,642,timeOpts.minUnit,,,
102,me min,determine unit for format,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,642,me.min,,,
103,me max,determine unit for format,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,642,me.max,,,
104,me. unit,determine major unit,1,/home/zcl/Desktop/parametermismatch/dataset/Chart.js/src/scales/scale.time.js,643,me._unit,,,
