prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/Gruntfile.js,1,,exports
number,number%int%other%integer%string,0,i,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,i
number,number%justmath.vec2%other%string%object,0,k,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,k
number,number%other%string%object%array.<number>,0,l,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,l
other,other%void%mixed%string%number,0,eve,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,eve
function,function%google.maps.mapseventlistener%callback%other%undefined,0,listener,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,listeners
string,string%other%array%boolean%number,0,separator,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,separator
void,void%undefined%function%boolean%string,0,on,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,on
function,function%other%number%void%string,0,f,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,f
undefined,undefined%other%array|null%number%void,0,stop,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,stop
string,string%other%number%mocha%void,0,nt,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,nt
string,string%other%number%mocha%void,0,nt,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,nts
undefined,undefined%void%boolean%array|null%other,0,unbind,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,unbind
angular.$q.promise,angular.$q.promise%other%boolean%jquery%function,0,once,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,once
other,other%string%number%array%ol.coordinate,0,c,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,c
string,string%other%object%boolean%string|buffer,0,to string,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,toString
number,number%int%other%integer%string,0,i,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,i
number,number%justmath.vec2%other%string%object,0,k,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,k
number,number%other%string%object%array.<number>,0,l,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,l
number,number%number|string%other%int%string|number,0,m,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,m
number,number%justmath.vec2%number|string%other%object,0,n,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,n
array,array%three.object3d%number%object%other,0,o,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,o
number,number%g.point%justmath.vec2%string%quadraticpoint,0,p,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,p
string,string%number%other%array%number|string,0,q,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,q
number,number%other%justmath.vec2%void%object,0,r,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,r
string,string%other%?%number%object,0,s,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,s
other,other%string%object%number%array,0,get by id,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,getById
number,number%other%float%int%array,0,linear,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,linear
other,other%number%boolean%justmath.vec2%void,0,easeout,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,easeout
number,number%other%boolean%justmath.vec2%void,0,easein,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,easein
number,number%other%boolean%justmath.vec2%void,0,easeinout,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,easeinout
other,other%void%mixed%string%number,0,backin,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,backin
other,other%void%mixed%string%number,0,backout,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,backout
number,number%other%object%void%undefined,0,elastic,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,elastic
undefined,undefined%number%void%other%boolean,0,bounce,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,bounce
other,other%string%number%array%ol.coordinate,0,c,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,c
number,number%other%justmath.vec2%array%boolean,0,d,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,d
event,event%eventfacade%goog.events.event%other%object,0,e,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,e
function,function%other%number%void%string,0,f,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,f
number,number%other%int%string%number|string,0,h,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,h
number,number%int%other%integer%string,0,i,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,i
number,number%other%justmath.vec2%array%boolean,0,d,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,d
number,number%string%other%boolean%void,0,j,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,j
number,number%justmath.vec2%other%string%object,0,k,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,k
number,number%other%string%object%array.<number>,0,l,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,l
number,number%number|string%other%int%string|number,0,m,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,m
number,number%justmath.vec2%number|string%other%object,0,n,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,n
array,array%three.object3d%number%object%other,0,o,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,o
number,number%g.point%justmath.vec2%string%quadraticpoint,0,p,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,p
string,string%number%other%array%number|string,0,q,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,q
event,event%eventfacade%goog.events.event%other%object,0,e,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,e
function,function%other%number%void%string,0,f,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,f
number,number%other%string%function%justmath.vec2,0,g,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,g
number,number%other%justmath.vec2%void%object,0,r,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,r
string,string%other%?%number%object,0,s,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,s
number,number%other%array.<number>%object%string,0,t,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,t
other,other%number%boolean%justmath.vec2%string,0,u,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,u
me.vector2d,me.vector2d%justmath.vec2%other%vector2%number,0,v,,,,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,,v
