,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,export,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/Gruntfile.js,1,exports,,,
1,i,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,i,,,
2,k,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,k,,,
3,l,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,l,,,
4,eve,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,eve,,,
5,listener,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,listeners,,,
6,separator,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,separator,,,
7,on,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,on,,,
8,f,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,f,,,
9,stop,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,stop,,,
10,nt,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,nt,,,
11,nt,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,nts,,,
12,unbind,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,unbind,,,
13,once,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,once,,,
14,c,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,c,,,
15,to string,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,toString,,,
16,i,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,i,,,
17,k,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,k,,,
18,l,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,l,,,
19,m,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,m,,,
20,n,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,n,,,
21,o,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,o,,,
22,p,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,p,,,
23,q,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,q,,,
24,r,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,r,,,
25,s,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,s,,,
26,get by id,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,getById,,,
27,linear,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,linear,,,
28,easeout,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,easeout,,,
29,easein,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,easein,,,
30,easeinout,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,easeinout,,,
31,backin,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,backin,,,
32,backout,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,backout,,,
33,elastic,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,elastic,,,
34,bounce,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,bounce,,,
35,c,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,c,,,
36,d,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,d,,,
37,e,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,e,,,
38,f,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,f,,,
39,h,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,h,,,
40,i,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,i,,,
41,d,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,d,,,
42,j,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,j,,,
43,k,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,k,,,
44,l,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,l,,,
45,m,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,m,,,
46,n,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,n,,,
47,o,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,o,,,
48,p,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,p,,,
49,q,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,q,,,
50,e,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,e,,,
51,f,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,f,,,
52,g,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,g,,,
53,r,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,r,,,
54,s,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,s,,,
55,t,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,t,,,
56,u,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,u,,,
57,v,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,v,,,
58,w,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,w,,,
59,x,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,x,,,
60,to string,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,toString,,,
61,s,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,S,,,
62,url,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,url,,,
63,c,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,c,,,
64,sin,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,sin,,,
65,tan,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,tan,,,
66,co,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,cos,,,
67,asin,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,asin,,,
68,acos,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,acos,,,
69,atan,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,atan,,,
70,atan,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,atan2,,,
71,len,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,len,,,
72,len,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,len2,,,
73,close point,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,closestPoint,,,
74,d,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,d,,,
75,snap to,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,snapTo,,,
76,w,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,W,,,
77,x,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,X,,,
78,y,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,Y,,,
79,z,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,Z,,,
80,$,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,$,,,
81,,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,_,,,
82,color,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,color,,,
83,hsb rgb,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,hsb2rgb,,,
84,hsl rgb,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,hsl2rgb,,,
85,rgb hsb,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,rgb2hsb,,,
86,rgb hsl,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,rgb2hsl,,,
87,parse path string,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,parsePathString,,,
88,parse transform string,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,parseTransformString,,,
89,select,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,select,,,
90,select all,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,selectAll,,,
91,attr,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,attr,,,
92,parse,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,parse,,,
93,fragment,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,fragment,,,
94,el,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,el,,,
95,child,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,children,,,
96,to json,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,toJSON,,,
97,ajax,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,ajax,,,
98,onreadystatechange,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,onreadystatechange,,,
99,load,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,load,,,
100,ca,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,ca,,,
101,get element by point,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,getElementByPoint,,,
102,plugin,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,plugin,,,
103,h,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,h,,,
104,i,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,i,,,
105,b,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,b,,,
106,d,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,d,,,
107,j,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,j,,,
108,get b box,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,getBBox,,,
109,t,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,t,,,
110,transform,,0,/home/zcl/Desktop/parametermismatch/dataset/Snap.svg/dist/snap.svg-min.js,19,transform,,,
