prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/text-editor-large-file-construction.bench.js,9,,exports
number,number%int%integer%number|string%other,0,timeout,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/text-editor-large-file-construction.bench.js,86,,timeout
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/text-editor-long-lines.bench.js,13,,exports
number,number%int%integer%number|string%other,0,timeout,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/text-editor-long-lines.bench.js,93,,timeout
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/benchmark-runner.js,6,,exports
boolean,boolean%other%string%void%object,0,add transpiler config for path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,24,,addTranspilerConfigForPath
boolean,boolean%void%string%other%object,0,remove transpiler config for path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,29,,removeTranspilerConfigForPath
boolean,boolean%void%string%undefined%array,0,set atom home directory,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,37,,setAtomHomeDirectory
void,void%boolean%string%other%array,0,set cache directory,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,45,,setCacheDirectory
object,object%other%string%array%google.maps.map,0,get cache directory,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,49,,getCacheDirectory
boolean,boolean%other%array%string%ithenable,0,add path to cache,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,53,,addPathToCache
object,object%google.maps.map%other%array%string,0,get cache stats,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,71,,getCacheStats
void,void%undefined%boolean%other%array,0,reset cache stats,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,75,,resetCacheStats
string,string%array%other%array.<string>%regexp,0,compile file at path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,84,,compileFileAtPath
boolean,boolean%other%string%object%array.<object>,0,read cache java script,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,101,,readCachedJavaScript
boolean,boolean%other%string%object%promise,0,write cache java script,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,111,,writeCachedJavaScript
undefined,undefined%boolean%void%string%other,0,install,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,118,,install
number,number%object%array%other%string,0,original position for,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,120,,originalPositionFor
google.maps.map,google.maps.map%other%object%void%undefined,0,retrieve source map,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,137,,retrieveSourceMap
other,other%array%object%boolean%string,0,prepare stack trace with raw stack assignment,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,196,,prepareStackTraceWithRawStackAssignment
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,208,,get
undefined,undefined%other%void%object%array,0,set,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,212,,set
other,other%node%object%array%cc.node,0,get raw stack,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,220,,getRawStack
string,string%number%object|undefined%mixed%other,0,value,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,233,,value
void,void%undefined%boolean%other%string,0,destroy,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,29,,destroy
void,void%undefined%boolean%function%boolean|string,0,on do change visible,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,49,,onDidChangeVisible
void,void%function%undefined%boolean%other,0,on do destroy,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,58,,onDidDestroy
boolean,boolean%undefined%void%self%treenode,0,hide,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,67,,hide
boolean,boolean%undefined%self%treenode%void,0,show,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,76,,show
boolean,boolean%bool%other%void%boolean|undefined,0,be visible,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,87,,isVisible
boolean,boolean%other%undefined%array%string,0,decorate marker,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,105,,decorateMarker
element,element%other%htmlelement%object%v,0,get element,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,109,,getElement
void,void%undefined%function%boolean%string,0,on,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/ipc-helpers.js,8,,on
other,other%array%function%number%object,0,call,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/ipc-helpers.js,13,,call
undefined,undefined%other%void%number%boolean,0,respond to,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/ipc-helpers.js,31,,respondTo
other,other%object%array%string%boolean,0,add schema enforcer,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,365,,addSchemaEnforcer
other,other%object%array%string%boolean,0,add schema enforcer,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,370,,addSchemaEnforcers
object,object%ithenable%other%array%void,0,execute schema enforcer,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,380,,executeSchemaEnforcers
void,void%boolean%undefined%other%function,0,initialize,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,408,,initialize
undefined,undefined%void%boolean%other%array,0,clear,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,419,,clear
boolean,boolean%void%undefined%function%other,0,observe,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,470,,observe
void,void%undefined%function%boolean%other,0,on do change,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,507,,onDidChange
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,585,,get
other,other%array%boolean%object%undefined,0,get all,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,613,,getAll
undefined,undefined%other%void%object%array,0,set,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,687,,set
boolean,boolean%undefined%void%other%string,0,unset,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,730,,unset
string,string%other%object%array%htmlelement,0,get source,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,770,,getSources
other,other%object%google.maps.map%array%string,0,get schema,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,783,,getSchema
string,string%other%array%object%array.<string>,0,get user config path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,807,,getUserConfigPath
other,other%void%mixed%string%number,0,transact,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,816,,transact
other,other%object%string%array%array.<string>,0,get legacy scope descriptor for new scope descriptor,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,825,,getLegacyScopeDescriptorForNewScopeDescriptor
boolean,boolean%void%other%object%function,0,transact async,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,844,,transactAsync
other,other%jquery%object%undefined%function,0,end transaction,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,848,,endTransaction
other,other%void%function%reactreconciletransaction%object,0,begin transaction,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,862,,beginTransaction
other,other%jquery%object%undefined%function,0,end transaction,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,866,,endTransaction
string,string%boolean%other%array%number,0,push at key path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,871,,pushAtKeyPath
string,string%other%array%array.<string>%boolean,0,unshift at key path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,879,,unshiftAtKeyPath
string,string%other%undefined%array.<string>%boolean,0,remove at key path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,887,,removeAtKeyPath
other,other%object%string%void%undefined,0,set schema,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,895,,setSchema
undefined,undefined%void%boolean%other%ithenable,0,save,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,923,,save
void,void%other%boolean%string%undefined,0,reset user setting,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,936,,resetUserSettings
undefined,undefined%void%other%boolean%string,0,reset setting,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,940,,_resetSettings
boolean,boolean%void%undefined%other%ithenable,0,clear unscoped setting for source,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,969,,_clearUnscopedSettingsForSource
void,void%undefined%boolean%other%promise,0,reset project setting,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,977,,resetProjectSettings
void,void%undefined%boolean%other%ithenable,0,clear project setting,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,990,,clearProjectSettings
string,string%other%number%mixed%object,0,get raw value,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,994,,getRawValue
undefined,undefined%void%string%other%boolean,0,set raw value,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1020,,setRawValue
string,string%other%array%number%boolean,0,observe key path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1041,,observeKeyPath
void,void%function%boolean%undefined%string,0,on do change key path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1046,,onDidChangeKeyPath
boolean,boolean%bool%other%webinspector.remoteobject%string,0,be sub key path,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1058,,isSubKeyPath
undefined,undefined%void%boolean%other%string,0,set raw default,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1065,,setRawDefault
undefined,undefined%void%boolean%other%string,0,set default,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1070,,setDefaults
boolean,boolean%function%other%bool%object,0,deep clone,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1092,,deepClone
boolean,boolean%object%array%string%bool,0,deep default,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1104,,deepDefaults
other,other%undefined%string%boolean%void,0,set scoped default from schema,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1131,,setScopedDefaultsFromSchema
other,other%object%string%fileentry%number,0,extract default from schema,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1153,,extractDefaultsFromSchema
number,number%string%array.<*>%object%date,0,make value conform to schema,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1164,,makeValueConformToSchema
boolean,boolean%void%undefined%other%string,0,reset setting for schema change,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1182,,resetSettingsForSchemaChange
number,number%string%boolean%other%array.<string>,0,priority for source,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1200,,priorityForSource
undefined,undefined%void%boolean%other%number,0,emit change event,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1211,,emitChangeEvent
void,void%undefined%other%string%boolean,0,reset scoped setting,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1215,,resetScopedSettings
undefined,undefined%void%boolean%other%string,0,set raw scoped value,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1231,,setRawScopedValue
other,other%string%object%number%array,0,get raw scoped value,,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1244,,getRawScopedValue
