prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
boolean,boolean%number%object%other%string,1,error state,set state,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,38,,ErrorState
string,string%object|string%object%exhibit.set%other,1,message,set state,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,38,,message
other,other%function%boolean%event%emitter,1,,emit window event,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,39,string,
other,other%fileentry%string%object%number,1,,update title,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/title-bar.js,17,None,
boolean,boolean%string%other%fileentry%object,1,,save,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,437,None,
boolean,boolean%string%other%fileentry%object,1,,save,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,437,number,
element,element%htmlelement%other%object%domelement,1,style element,remove style element,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/style-manager.js,156,,styleElement
string,string%other%array%object%boolean,1,,retokenize line,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,36,None,
other,other%object%element%node%function,1,item submenu,create click handler,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/context-menu.js,29,,item.submenu
string,string%string|array%array.<string>%other%array,1,name,path for key,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/storage-folder.js,15,,name
other,other%object%menu%element%node,1,,clone menu item,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/menu-helpers.js,93,None,
other,other%canvas%array.<string>%array%string,1,,add project,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/history-manager.js,15,None,
number,number%other%ext.component%component%string,1,,get component,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-element.js,36,string,
number,number%other%ext.component%component%string,1,,get component,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-element.js,36,None,
string,string%function%other%string|object%mixed,1,selector,reject selector,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/syntax-scope-map.js,70,,selector
string,string%function%other%string|object%mixed,1,selector,reject selector,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/syntax-scope-map.js,77,,selector
string,string%function%other%string|object%mixed,1,selector,reject selector,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/syntax-scope-map.js,85,,selector
string,string%function%other%string|object%mixed,1,selector,reject selector,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/syntax-scope-map.js,90,,selector
component,component%boolean%object%other%string,1,,show update menu item,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/application-menu.js,16,string,
component,component%boolean%object%other%string,1,,show update menu item,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/application-menu.js,16,None,
other,other%object%string%boolean%object|boolean,1,panel,hide all panel except,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/panel-container-element.js,54,,panel
string,string%boolean%other%function%event,1,,on do change active theme,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/theme-manager.js,27,None,
string,string%array.<string>%other%array%object,1,grammar,remove grammar,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,466,,grammar
string,string%number%array%other%string|array,1,key path,get,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1049,,keyPath
node,node%other%ext.data.nodeinterface%object%node|htmlelement,1,node,node contain index,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,397,,node
number,number%integer%int%object%node|object,1,start index,node contain index,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,397,,startIndex
number,number%integer%int%node%object,1,end index,node contain index,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,397,,endIndex
node,node%other%object%ext.data.nodeinterface%node|htmlelement,1,node,node be small,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,398,,node
node,node%other%element%htmlelement%ext.data.nodeinterface,1,small node,node be small,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,398,,smallestNode
string,string%mixed%other%object%number,1,,get all window,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/atom-application.js,1374,None,
other,other%string%array.<string>%array%mocha,1,grammar,add grammar,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,493,,grammar
string,string%object%element%other%number,1,overlay prop,update overlay to render,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,818,,overlayProps
string,string%context%other%number%boolean,1,,set default,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1078,None,
other,other%array%boolean%object%component,1,,destroy item,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/pane.js,787,None,
mixed,mixed%other%object%boolean%number,1,,deep clone,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1096,None,
object,object%other%array%boolean%string,1,pack,load available package,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-manager.js,544,,pack
string,string%object%other%string|array%boolean,1,disabled package name,load available package,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-manager.js,544,,disabledPackageNames
other,other%string%function%boolean%object,1,,create grammar,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,522,object,
other,other%string%function%boolean%object,1,,create grammar,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,522,None,
object,object%mixed%other%array%fabric.object,1,object,deep clone,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1098,,object
mixed,mixed%other%object%boolean%number,1,,deep clone,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1098,None,
other,other%string%boolean%function%object,1,error,handle error,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/buffered-process.js,293,,error
other,other%string%object%array.<string>%array,1,,unload package,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-manager.js,638,None,
other,other%string%event%object%eventfacade,1,,on event,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/path-watcher.js,241,None,
other,other%string%number%integer%function,1,decoration type,add decoration to render,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1004,,decoration.type
other,other%string%sap.ui.core.rendermanager%integer%sap.ui.core.control,1,decoration,add decoration to render,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1004,,decoration
other,other%string%konva.layer%sap.ui.core.rendermanager%integer,1,marker,add decoration to render,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1004,,marker
other,other%number%integer%object%string,1,screen range,add decoration to render,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1004,,screenRange
other,other%boolean%string%bool%integer,1,reverse,add decoration to render,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1004,,reversed
string,string%other%boolean%object%number,1,,make value conform to schema,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1185,object,
string,string%other%array%object%boolean,1,setting,make value conform to schema,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1185,,.settings
string,string%other%boolean%object%number,1,,make value conform to schema,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1185,None,
string,string%other%boolean%object%number,1,,make value conform to schema,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1190,object,
string,string%array%object%boolean%other,1,set,make value conform to schema,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1190,,settings
string,string%other%boolean%object%number,1,,make value conform to schema,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1190,None,
string,string%other%context%boolean%mixed,1,,set raw scoped value,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1191,object,
exhibit.set,exhibit.set%object%string%boolean%other,1,set,set raw scoped value,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1191,,settings
string,string%other%object%mixed%boolean,1,source,set raw scoped value,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1191,,source
string,string%other%object%exhibit.set%boolean,1,scope selector,set raw scoped value,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1191,,scopeSelector
string,string%other%object%array%array.<object>,1,item command,accelerator for command,,,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/application-menu.js,202,,item.command
