,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,error state,set state,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,38,ErrorState,,,
1,message,set state,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,38,message,,,
2,,emit window event,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/auto-update-manager.js,39,,,,string
3,,update title,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/title-bar.js,17,,,,None
4,,save,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,437,,,,None
5,,save,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,437,,,,number
6,style element,remove style element,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/style-manager.js,156,styleElement,,,
7,,retokenize line,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-mate-language-mode.js,36,,,,None
8,item submenu,create click handler,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/context-menu.js,29,item.submenu,,,
9,name,path for key,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/storage-folder.js,15,name,,,
10,,clone menu item,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/menu-helpers.js,93,,,,None
11,,add project,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/history-manager.js,15,,,,None
12,,get component,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-element.js,36,,,,string
13,,get component,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-element.js,36,,,,None
14,selector,reject selector,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/syntax-scope-map.js,70,selector,,,
15,selector,reject selector,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/syntax-scope-map.js,77,selector,,,
16,selector,reject selector,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/syntax-scope-map.js,85,selector,,,
17,selector,reject selector,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/syntax-scope-map.js,90,selector,,,
18,,show update menu item,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/application-menu.js,16,,,,string
19,,show update menu item,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/application-menu.js,16,,,,None
20,panel,hide all panel except,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/panel-container-element.js,54,panel,,,
21,,on do change active theme,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/theme-manager.js,27,,,,None
22,grammar,remove grammar,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,466,grammar,,,
23,key path,get,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1049,keyPath,,,
24,node,node contain index,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,397,node,,,
25,start index,node contain index,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,397,startIndex,,,
26,end index,node contain index,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,397,endIndex,,,
27,node,node be small,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,398,node,,,
28,small node,node be small,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/tree-sitter-language-mode.js,398,smallestNode,,,
29,,get all window,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/main-process/atom-application.js,1374,,,,None
30,grammar,add grammar,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,493,grammar,,,
31,overlay prop,update overlay to render,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,818,overlayProps,,,
32,,set default,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1078,,,,None
33,,destroy item,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/pane.js,787,,,,None
34,,deep clone,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1096,,,,None
35,pack,load available package,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-manager.js,544,pack,,,
36,disabled package name,load available package,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-manager.js,544,disabledPackageNames,,,
37,,create grammar,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,522,,,,object
38,,create grammar,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/grammar-registry.js,522,,,,None
39,object,deep clone,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1098,object,,,
40,,deep clone,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/config.js,1098,,,,None
41,error,handle error,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/buffered-process.js,293,error,,,
42,,unload package,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/package-manager.js,638,,,,None
43,,on event,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/path-watcher.js,241,,,,None
44,decoration type,add decoration to render,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1004,decoration.type,,,
45,decoration,add decoration to render,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1004,decoration,,,
46,marker,add decoration to render,1,/home/zcl/Desktop/parametermismatch/dataset/atom/src/text-editor-component.js,1004,marker,,,
