,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,export,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/text-editor-large-file-construction.bench.js,9,exports,,,
1,timeout,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/text-editor-large-file-construction.bench.js,86,timeout,,,
2,export,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/text-editor-long-lines.bench.js,13,exports,,,
3,timeout,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/text-editor-long-lines.bench.js,93,timeout,,,
4,export,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/benchmarks/benchmark-runner.js,6,exports,,,
5,add transpiler config for path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,24,addTranspilerConfigForPath,,,
6,remove transpiler config for path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,29,removeTranspilerConfigForPath,,,
7,set atom home directory,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,37,setAtomHomeDirectory,,,
8,set cache directory,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,45,setCacheDirectory,,,
9,get cache directory,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,49,getCacheDirectory,,,
10,add path to cache,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,53,addPathToCache,,,
11,get cache stats,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,71,getCacheStats,,,
12,reset cache stats,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,75,resetCacheStats,,,
13,compile file at path,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,84,compileFileAtPath,,,
14,read cache java script,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,101,readCachedJavaScript,,,
15,write cache java script,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,111,writeCachedJavaScript,,,
16,install,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,118,install,,,
17,original position for,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,120,originalPositionFor,,,
18,retrieve source map,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,137,retrieveSourceMap,,,
19,prepare stack trace with raw stack assignment,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,196,prepareStackTraceWithRawStackAssignment,,,
20,get,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,208,get,,,
21,set,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,212,set,,,
22,get raw stack,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,220,getRawStack,,,
23,value,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/compile-cache.js,233,value,,,
24,destroy,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,29,destroy,,,
25,on do change visible,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,49,onDidChangeVisible,,,
26,on do destroy,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,58,onDidDestroy,,,
27,hide,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,67,hide,,,
28,show,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,76,show,,,
29,be visible,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,87,isVisible,,,
30,decorate marker,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,105,decorateMarker,,,
31,get element,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/gutter.js,109,getElement,,,
32,on,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/ipc-helpers.js,8,on,,,
33,call,,0,/home/zcl/Desktop/parametermismatch/dataset/atom/src/ipc-helpers.js,13,call,,,
