,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,result key,merge,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,255,result.key,,,
1,val,merge,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,255,val,,,
2,result key,deep merge,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,279,result.key,,,
3,val,deep merge,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,279,val,,,
4,,deep merge,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,281,,,,None
5,val,deep merge,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,281,val,,,
6,,create instance,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/axios.js,36,,,,None
7,argument i,for each,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,288,arguments.i,,,
8,assign value,for each,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,288,assignValue,,,
9,config,throw if cancellation request,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/core/dispatchRequest.js,26,config,,,
10,obj,be array,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,219,obj,,,
11,val,be object,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,145,val,,,
12,val,be function,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,145,val,,,
13,request url,resolve url,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/helpers/isURLSameOrigin.js,56,requestURL,,,
14,argument i,for each,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,262,arguments.i,,,
15,assign value,for each,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/utils.js,262,assignValue,,,
16,config,throw if cancellation request,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/core/dispatchRequest.js,72,config,,,
17,config,throw if cancellation request,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/core/dispatchRequest.js,60,config,,,
18,,encode,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/helpers/buildURL.js,54,,,,None
19,,encode,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/helpers/buildURL.js,54,,,,None
20,window location href,resolve url,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/helpers/isURLSameOrigin.js,47,window.location.href,,,
21,header,set content type if unset,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/defaults.js,48,headers,,,
22,,set content type if unset,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/defaults.js,48,,,,string
23,header,set content type if unset,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/defaults.js,52,headers,,,
24,,set content type if unset,1,/home/zcl/Desktop/parametermismatch/dataset/axios/lib/defaults.js,52,,,,string
