prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
string,string%other%object%array%array.<string>,0,company,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,5,,Company
string,string%other%number%string|regexp%string|object,0,suffix,suffix,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,10,,suffixes
string,string%object%other%array%boolean,0,suffix,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,15,,suffixes
string,string%other%number%boolean%object,1,format,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,20,string,format
string,string%other%string|array%array.<string>%string|undefined,0,company name,company name,,format,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,20,,companyName
string,string%string|undefined%other%string|regexp%object,0,company name,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,26,,companyName
string,string%other%array.<string>%number%string|array.<string>,0,company suffix,company suffix,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,41,,companySuffix
string,string%other%array%object%string|null,0,company suffix,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,46,,companySuffix
other,other%string%function%void%astnode,0,catch phrase,catch phrase,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,50,,catchPhrase
boolean,boolean%function%other%ithenable%string,0,catch phrase,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,55,,catchPhrase
number,number%other%element%object%array,0,b,b,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,59,,bs
element,element%other%number%justmath.vec2%object,0,b,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,64,,bs
function,function%string%number%other%undefined,0,catch phrase adjective,catch phrase adjective,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,68,,catchPhraseAdjective
boolean,boolean%function%number%ithenable%other,0,catch phrase adjective,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,73,,catchPhraseAdjective
other,other%object%reactdescriptor%object|null%astnode,0,catch phrase descriptor,catch phrase descriptor,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,77,,catchPhraseDescriptor
other,other%object%ithenable%reactorstate%boolean,0,catch phrase descriptor,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,82,,catchPhraseDescriptor
string,string%other%function%number%void,0,catch phrase noun,catch phrase noun,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,86,,catchPhraseNoun
boolean,boolean%function%number%ithenable%other,0,catch phrase noun,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,91,,catchPhraseNoun
number,number%other%boolean%string%object,0,b adjective,b adjective,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,95,,bsAdjective
element,element%boolean%other%number%justmath.vec2,0,b adjective,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,100,,bsAdjective
number,number%other%element%array%string,0,b buzz,b buzz,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,104,,bsBuzz
element,element%other%number%justmath.vec2%object,0,b buzz,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,109,,bsBuzz
number,number%other%boolean%string%array,0,b noun,b noun,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,113,,bsNoun
element,element%other%number%justmath.vec2%boolean,0,b noun,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/company.js,118,,bsNoun
other,other%object%string%function%google.maps.map,0,git,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/git.js,5,,Git
other,other%function%object%boolean%void,0,branch,branch,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/git.js,11,,branch
other,other%boolean%void%object%promise,0,branch,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/git.js,16,,branch
object,object%other%options%mixed%object|undefined,1,option,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/git.js,22,object,options
other,other%void%undefined%promise%boolean,0,commit entry,commit entry,,option,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/git.js,22,,commitEntry
other,other%array%ithenable%void%object,0,commit entry,,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/git.js,28,,commitEntry
string,string%void%other%object%array.<string>,0,commit message,commit message,,,/home/zcl/Desktop/parametermismatch/dataset/faker.js/lib/git.js,44,,commitMessage
