,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,be valid file,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/run.js,39,is_valid_file,,,
1,run,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/run.js,52,run,,,
2,haversine,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/address.unit.js,459,haversine,,,
3,degree to radian,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/address.unit.js,460,degreesToRadians,,,
4,kilometer to mile,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/address.unit.js,463,kilometersToMiles,,,
5,validate slug,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/lorem.unit.js,46,validateSlug,,,
6,walk,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/walk_dir.js,4,walk,,,
7,be testable module,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/function-helpers.js,17,isTestableModule,,,
8,be method of,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/function-helpers.js,21,isMethodOf,,,
9,be testable method,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/function-helpers.js,27,isTestableMethod,,,
10,both,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/function-helpers.js,33,both,,,
11,module list,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/function-helpers.js,41,modulesList,,,
12,f,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/sinon-1.5.2.js,42,F,,,
13,bind,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/sinon-1.5.2.js,45,bind,,,
14,partial,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/sinon-1.5.2.js,54,partial,,,
15,create,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/sinon-1.5.2.js,61,create,,,
16,extend,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/sinon-1.5.2.js,66,extend,,,
17,next tick,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/sinon-1.5.2.js,76,nextTick,,,
18,function name,,0,/home/zcl/Desktop/parametermismatch/dataset/faker.js/test/support/sinon-1.5.2.js,83,functionName,,,
