prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/gruntfile.js,1,,exports
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/wallaby.js,2,,exports
string,string%object%other%boolean%void,0,bootstrap,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/wallaby.js,34,,bootstrap
string,string%other%array%object%promise,0,load file,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/wallaby.js,42,,loadFile
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.conf.js,74,,exports
boolean,boolean%undefined%other%void%object,0,emitter,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,1,,Emitter
void,void%undefined%function%boolean%string,0,on,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,4,,on
function,function%other%number%void%promise,0,emit,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,12,,emit
other,other%webinspector.networkrequest%webinspector.heapsnapshotgridnode.childrenprovider%promise%server,0,mock socket,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,25,,MockSocket
void,void%undefined%function%boolean%string,0,on,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,34,,on
other,other%undefined%boolean%jquery.promise%ithenable,0,disconnect,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,42,,disconnect
string,string%other%undefined%function%number,0,set transport name to,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,47,,_setTransportNameTo
undefined,undefined%other%void%function%string,0,set transport to,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,13,,setTransportTo
function,function%function|undefined%other%void%string|function,0,adapter start fn,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,74,,ADAPTER_START_FN
other,other%string%object%array%webinspector.consolemessage,0,alert,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,255,,alert
boolean,boolean%string%void%undefined%other,0,confirm,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,270,,confirm
undefined,undefined%string%void%other%enchant.timeline,0,prompt,,,,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,288,,prompt
