,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,export,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/gruntfile.js,1,exports,,,
1,export,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/wallaby.js,2,exports,,,
2,bootstrap,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/wallaby.js,34,bootstrap,,,
3,load file,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/wallaby.js,42,loadFile,,,
4,export,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.conf.js,74,exports,,,
5,emitter,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,1,Emitter,,,
6,on,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,4,on,,,
7,emit,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,12,emit,,,
8,mock socket,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,25,MockSocket,,,
9,on,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,34,on,,,
10,disconnect,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,42,disconnect,,,
11,set transport name to,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/mocks.js,47,_setTransportNameTo,,,
12,set transport to,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,13,setTransportTo,,,
13,adapter start fn,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,74,ADAPTER_START_FN,,,
14,alert,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,255,alert,,,
15,confirm,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,270,confirm,,,
16,prompt,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,288,prompt,,,
17,log,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,307,log,,,
18,log,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,323,log,,,
19,log,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/karma.spec.js,338,log,,,
20,abc,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/stringify.spec.js,30,abc,,,
21,def,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/stringify.spec.js,31,def,,,
22,my obj,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/client/stringify.spec.js,66,MyObj,,,
23,proxy,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/proxy.js,4,Proxy,,,
24,start,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/proxy.js,25,start,,,
25,stop,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/proxy.js,33,stop,,,
26,world,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/world.js,9,World,,,
27,resolve,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/world.js,20,_resolve,,,
28,generate j,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/world.js,52,generateJS,,,
29,http get,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/proxy/test.js,1,httpGet,,,
30,framework,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/proxy/plugin.js,1,framework,,,
31,http get,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/middleware/test.js,1,httpGet,,,
32,middleware,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/middleware/middleware.js,1,middleware,,,
33,framework,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/middleware/middleware.js,11,framework,,,
34,plus,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/modules/plus.js,2,plus,,,
35,plus,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/modules/plus.js,2,plus,,,
36,be firefox before,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/tag/tag.js,2,isFirefoxBefore59,,,
37,contains js tag,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/tag/tag.js,6,containsJsTag,,,
38,http get,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/headers/test.js,1,httpGet,,,
39,socket,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/reconnecting/test.js,4,socket,,,
40,plus,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/reconnecting/plus.js,3,plus,,,
41,plus,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/behind-proxy/plus.js,3,plus,,,
42,plus,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/mocha/plus.js,3,plus,,,
43,plus,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/support/basic/plus.js,3,plus,,,
44,cleanse if need,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/step_definitions/core_steps.js,22,cleanseIfNeeded,,,
45,exec karma,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/step_definitions/core_steps.js,35,execKarma,,,
46,start proxy,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/step_definitions/core_steps.js,38,startProxy,,,
47,executor,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/step_definitions/core_steps.js,58,executor,,,
48,do,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/step_definitions/core_steps.js,69,done,,,
49,callback,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/e2e/step_definitions/core_steps.js,151,callback,,,
50,stub promise,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/launcher.spec.js,11,stubPromise,,,
51,fake browser,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/launcher.spec.js,23,FakeBrowser,,,
52,script browser,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/launcher.spec.js,43,ScriptBrowser,,,
53,generate id,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/launcher.spec.js,66,generateId,,,
54,be capture,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/launcher.spec.js,290,isCaptured,,,
55,be capture,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/launcher.spec.js,292,isCaptured,,,
56,be capture,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/launcher.spec.js,298,isCaptured,,,
57,be capture,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/launcher.spec.js,300,isCaptured,,,
58,slice,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/runner.spec.js,41,slice,,,
59,slice,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/runner.spec.js,50,slice,,,
60,a method,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/emitter_wrapper.spec.js,12,aMethod,,,
61,a listener,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/emitter_wrapper.spec.js,18,aListener,,,
62,a listener,,0,/home/zcl/Desktop/parametermismatch/dataset/karma/test/unit/emitter_wrapper.spec.js,31,aListener,,,
