prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/karma.conf.js,19,,exports
boolean,boolean%undefined%void%string%other,0,configure,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/karma.conf.js,33,,configure
boolean,boolean%void%undefined%other%object,0,add sauce test,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/karma.conf.js,165,,addSauceTests
string,string%object%string|function%string|array%other,1,test name,name test use coverage reporting,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/package-scripts.js,12,string,testName
object,object%string%other%array%array.<string>,1,mocha params,parameter mocha cli execute desired test,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/package-scripts.js,12,string,mochaParams
string,string%other%array%boolean%object,0,test,generate command run mocha test without test coverage desire current runmode,command string execute np,test name mocha params,/home/zcl/Desktop/parametermismatch/dataset/mocha/package-scripts.js,12,string,test
void,void%undefined%function%other%self,0,remove listener,remove uncaught exception listener. revert original onerror handler previously define,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,41,,removeListener
other,other%object%string%jquery%undefined,0,onerror,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,46,,onerror
void,void%undefined%other%function%boolean,0,on,implement uncaught exception listener,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,59,,on
other,other%object%string%jquery%undefined,0,onerror,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,61,,onerror
other,other%void%mixed%string%number,0,timeslice,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,77,,timeslice
number,number%void%boolean%this%other,0,immediately,high performance override runner immediately,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,93,,immediately
function,function%other%boolean%promise%void,0,throw error,function allow assertion library throw error directly mocha. useful run test browser window onerror receive message attribute error,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,105,,throwError
object,object%other%class%void%jquery,0,ui,override ui ensure ui function initialized. normally would happen mocha prototype load file,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,117,,ui
void,void%object%undefined%string%boolean,0,setup,setup mocha give setting option,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,127,,setup
mocha,mocha%other%recognizer%promise%runner,0,run,run mocha return runner,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,143,,run
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/.wallaby.js,3,,exports
void,void%undefined%object%boolean%string,0,setup,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/.wallaby.js,34,,setup
array,array%other%object%array.<object>%string,0,exec file,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/.wallaby.js,45,,execFile
other,other%object%parsetree%string%function,0,mixin mocha assertion,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/assertions.js,3,,mixinMochaAssertions
boolean,boolean%undefined%other%void%number,0,identify,,,,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/assertions.js,8,,identify
