,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,export,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/karma.conf.js,19,exports,,,
1,configure,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/karma.conf.js,33,configure,,,
2,add sauce test,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/karma.conf.js,165,addSauceTests,,,
3,test name,name test use coverage reporting,1,/home/zcl/Desktop/parametermismatch/dataset/mocha/package-scripts.js,12,testName,,,string
4,mocha params,parameter mocha cli execute desired test,1,/home/zcl/Desktop/parametermismatch/dataset/mocha/package-scripts.js,12,mochaParams,,,string
5,test,generate command run mocha test without test coverage desire current runmode,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/package-scripts.js,12,test,test name mocha params,command string execute np,string
6,remove listener,remove uncaught exception listener. revert original onerror handler previously define,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,41,removeListener,,,
7,onerror,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,46,onerror,,,
8,on,implement uncaught exception listener,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,59,on,,,
9,onerror,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,61,onerror,,,
10,timeslice,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,77,timeslice,,,
11,immediately,high performance override runner immediately,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,93,immediately,,,
12,throw error,function allow assertion library throw error directly mocha. useful run test browser window onerror receive message attribute error,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,105,throwError,,,
13,ui,override ui ensure ui function initialized. normally would happen mocha prototype load file,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,117,ui,,,
14,setup,setup mocha give setting option,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,127,setup,,,
15,run,run mocha return runner,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/browser-entry.js,143,run,,,
16,export,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/.wallaby.js,3,exports,,,
17,setup,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/.wallaby.js,34,setup,,,
18,exec file,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/.wallaby.js,45,execFile,,,
19,mixin mocha assertion,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/assertions.js,3,mixinMochaAssertions,,,
20,identify,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/assertions.js,8,identify,,,
21,identify,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/assertions.js,20,identify,,,
22,identify,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/assertions.js,32,identify,,,
23,circle error,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/json.spec.js,69,CircleError,,,
24,draw,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,27,draw,,,
25,generate color,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,30,generateColors,,,
26,draw,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,45,draw,,,
27,generate color,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,48,generateColors,,,
28,slow,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,62,slow,,,
29,draw,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,67,draw,,,
30,generate color,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,70,generateColors,,,
31,draw,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,88,draw,,,
32,generate color,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,91,generateColors,,,
33,draw,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,106,draw,,,
34,generate color,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,107,generateColors,,,
35,epilogue,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,108,epilogue,,,
36,draw,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,123,draw,,,
37,generate color,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,124,generateColors,,,
38,epilogue,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,125,epilogue,,,
39,show,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,140,show,,,
40,draw,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,146,draw,,,
41,generate color,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,147,generateColors,,,
42,epilogue,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,148,epilogue,,,
43,write,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,167,write,,,
44,on,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,178,on,,,
45,once,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,178,once,,,
46,append rainbow,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,183,appendRainbow,,,
47,rainbowify,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,184,rainbowify,,,
48,draw scoreboard,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,185,drawScoreboard,,,
49,draw rainbow,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,186,drawRainbow,,,
50,face,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,190,face,,,
51,cursor up,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,191,cursorUp,,,
52,on,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,213,on,,,
53,once,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,213,once,,,
54,append rainbow,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,218,appendRainbow,,,
55,rainbowify,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,219,rainbowify,,,
56,draw scoreboard,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,220,drawScoreboard,,,
57,draw rainbow,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,221,drawRainbow,,,
58,face,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,225,face,,,
59,cursor up,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,226,cursorUp,,,
60,write,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,255,write,,,
61,on,,0,/home/zcl/Desktop/parametermismatch/dataset/mocha/test/reporters/nyan.spec.js,265,on,,,
