prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
boolean,boolean%string%other%function%void,0,with gl,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/tools/integration-tests/test/display/getLocalBounds.js,18,,withGL
undefined,undefined%number%boolean%void%other,0,say hello,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/tools/integration-tests/test/display/getLocalBounds.js,209,,sayHello
function,function%string%other%object%array.<*>,0,export,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,5,,exports
object,object%string%other%array%function,0,deprecate,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,5,,deprecated
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,16,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,30,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,44,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,65,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,79,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,93,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,109,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,123,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,147,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,160,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,173,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,186,,get
number,number%object%goog.math.size%cc.size%other,0,get svg size,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,196,,getSvgSize
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,202,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,225,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,238,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,251,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,264,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,277,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,290,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,303,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,327,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,340,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,364,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,378,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,401,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,414,,get
other,other%string%object%array%function,0,bitmap font parser,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,421,,bitmapFontParser
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,427,,get
string,string%object%other%array%array.<string>,0,parse bitmap font data,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,434,,parseBitmapFontData
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,440,,get
other,other%string%function%object%array,0,spritesheet parser,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,447,,spritesheetParser
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,453,,get
string,string%other%array%object%array.<string>,0,get resource path,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,460,,getResourcePath
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,466,,get
other,other%function%object%string%array,1,middleware,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,475,function,middleware
boolean,boolean%undefined%other%void%promise,0,add pixi middleware,,,middleware,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,475,,addPixiMiddleware
boolean,boolean%void%undefined%other%object,0,add pixi middleware,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,481,,addPixiMiddleware
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,494,,get
other,other%number%object%string%array,0,get,,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,508,,get
other,other%object%renderer%function%svgrenderer,1,renderer,instance renderer,,,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,516,pixi.renderer,renderer
other,other%webinspector.networkrequest%void%undefined%rendersession,0,render web gl,,,renderer,/home/zcl/Desktop/parametermismatch/dataset/pixi.js/bundles/pixi.js/src/deprecated.js,516,,_renderWebGL
