prediction,top_5,datapoint_type,cleaned_name,cleaned_comment,return_param_comment,params,filename,line_number,original,name
function,function%constructor%object%other%string|function,1,sequelize,sequelize constructor,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,12,object,Sequelize
void,void%other%function%string%undefined,0,export,shim sequelize method test log passing,,sequelize,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,12,,exports
object,object%other%object|array%mixed%object|function|filelist,1,obj,,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,46,object,obj
string,string%string|undefined%string|object%object%string/object,1,obj name,name object error reporting,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,46,string,objName
undefined,undefined%void%object%other%boolean,0,shim all,shim shimmable method obj,,obj obj name,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,46,,shimAll
function,function%string%other%string|function%array,1,method,function examine,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,80,function,method
string,string%string/object%object%other%string|undefined,1,name,attribute name method parent object,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,80,string,name
other,other%function%void%object%string,0,examine,give function check whether suitable shimming modify option return information return object form index argument function option conform function conform argument function accepts flexible option index base e. st argument method shimmed return undefined work method shimmed base . method name begin low case letter skip class internals . one function argument call option . overiden hint function body testhint option none skip shimming function testhint option nd function argument option parameter first arg testhint args conform start testhint args conform end part function body deal conform flexible argument,,method name,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,80,object,examine
object,object%t%mixed%other%value,1,obj,object parent method,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,object,obj
string,string%string/object%string|undefined%other%string|array.<string>,1,name,name method object shim,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,string,name
number,number%int%number|object%number|undefined%other,1,index,index argument option base,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,number,index
function,function%other%asyncfunction%astnode%array,1,conform,function conform function argument,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,function,conform
string,string%other%string|array.<string>%string|null%array.<string>,1,debug name,full name method error reporting,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,string,debugName
boolean,boolean%other%undefined%void%object,0,shim,shim method check option log . method inject option log call within tests. throw call within sequelize pass correct option log,,obj name index conform debug name,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,,shim
object,object%t%mixed%other%value,1,obj,object parent method,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,192,object,obj
string,string%string/object%string|undefined%other%string|array.<string>,1,name,name method object shim,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,192,string,name
function,function%function|object%other%object%event,1,wrapper,wrapper function,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,192,function,wrapper
function,function%other%object%string%undefined,0,shim method,shim method give wrapper function,,obj name wrapper,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,192,,shimMethod
object,object%other%options%mixed%object|undefined,1,option,,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,212,object,options
object,object%string%other%boolean%?,0,add logger,add log function option . exist log attribute shim,option log attribute add,option,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,212,object,addLogger
other,other%object%string%undefined%array,0,log,,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,218,,logging
object,object%other%options%mixed%object|undefined,1,option,,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,240,object,options
object,object%string%other%array.<string>%boolean,0,remove logger,revert option log original value,option log attribute revert original value,option,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,240,object,removeLogger
object,object%other%options%mixed%object|undefined,1,option,,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,254,object,options
boolean,boolean%other%object%void%string,0,test logger,check option log injected logging function,,option,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,254,,testLogger
boolean,boolean%other%function%ithenable%number,0,call from test,,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,267,,calledFromTests
object,object%object|array%other%array|object%t,1,obj,object iterate,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,284,object,obj
function,function%string%other%object%asyncfunction,1,fn,function call property,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,284,function,fn
object,object%string%array%mixed%other,0,for own,loop property object include non enumerable property call fn property argments value key object . getters skipped. like except also include non enumarable property skip getters,obj input,obj fn,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,284,object,forOwn
function,function%object%other%string|function%string,1,fn,function,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,299,function,fn
function,function%string%function|object%other%array,0,get function code,get code function add function start code fn define object method shortcut alters illegal function name import delete code parse acorn,code function,fn,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,299,string,getFunctionCode
function,function%other%string%parsetree%object,1,tree,abstract syntax tree function code,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,312,object,tree
array,array%array.<string>%array.<object>%other%object,0,get function argument,return argument function array ast,array name method argument,tree,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,312,array,getFunctionArguments
function,function%object%array|object|string%string%other,1,method,function inspect,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,function,method
array,array%array.<string>%array.<object>%array.<*>%arguments,1,args,array name method argument,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,array,args
object,object%other%string|object|array%string|object%object|string,1,hint,hint object contain code hint parse code,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,object,hints
function,function%other%string%parsetree%object,1,tree,abstract syntax tree function code,,,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,object,tree
