,cleaned_name,comment,datapoint_type,filename,line_number,name,params,return_param_comment,type
0,sequelize,sequelize constructor,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,12,Sequelize,,,object
1,export,shim sequelize method test log passing,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,12,exports,sequelize,,
2,obj,,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,46,obj,,,object
3,obj name,name object error reporting,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,46,objName,,,string
4,shim all,shim shimmable method obj,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,46,shimAll,obj obj name,,
5,method,function examine,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,80,method,,,function
6,name,attribute name method parent object,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,80,name,,,string
7,examine,give function check whether suitable shimming modify option return information return object form index argument function option conform function conform argument function accepts flexible option index base e. st argument method shimmed return undefined work method shimmed base . method name begin low case letter skip class internals . one function argument call option . overiden hint function body testhint option none skip shimming function testhint option nd function argument option parameter first arg testhint args conform start testhint args conform end part function body deal conform flexible argument,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,80,examine,method name,,object
8,obj,object parent method,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,obj,,,object
9,name,name method object shim,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,name,,,string
10,index,index argument option base,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,index,,,number
11,conform,function conform function argument,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,conform,,,function
12,debug name,full name method error reporting,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,debugName,,,string
13,shim,shim method check option log . method inject option log call within tests. throw call within sequelize pass correct option log,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,129,shim,obj name index conform debug name,,
14,obj,object parent method,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,192,obj,,,object
15,name,name method object shim,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,192,name,,,string
16,wrapper,wrapper function,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,192,wrapper,,,function
17,shim method,shim method give wrapper function,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,192,shimMethod,obj name wrapper,,
18,option,,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,212,options,,,object
19,add logger,add log function option . exist log attribute shim,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,212,addLogger,option,option log attribute add,object
20,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,218,logging,,,
21,option,,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,240,options,,,object
22,remove logger,revert option log original value,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,240,removeLogger,option,option log attribute revert original value,object
23,option,,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,254,options,,,object
24,test logger,check option log injected logging function,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,254,testLogger,option,,
25,call from test,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,267,calledFromTests,,,
26,obj,object iterate,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,284,obj,,,object
27,fn,function call property,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,284,fn,,,function
28,for own,loop property object include non enumerable property call fn property argments value key object . getters skipped. like except also include non enumarable property skip getters,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,284,forOwn,obj fn,obj input,object
29,fn,function,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,299,fn,,,function
30,get function code,get code function add function start code fn define object method shortcut alters illegal function name import delete code parse acorn,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,299,getFunctionCode,fn,code function,string
31,tree,abstract syntax tree function code,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,312,tree,,,object
32,get function argument,return argument function array ast,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,312,getFunctionArguments,tree,array name method argument,array
33,method,function inspect,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,method,,,function
34,args,array name method argument,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,args,,,array
35,hint,hint object contain code hint parse code,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,hints,,,object
36,tree,abstract syntax tree function code,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,tree,,,object
37,get argument conform fn,extract conform argument section function body turn function. function call signature original function conform standard order return argument array. return undefined conform arguments hint,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,329,getArgumentsConformFn,method args hint tree,function conform method argument return array,function
38,option,option object,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,349,options,,,object
39,clone option,clone option object,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,349,cloneOptions,option,clone option,object
40,option,option object,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,362,options,,,object
41,original,original option object,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,362,original,,,object
42,check option,check option object alter throw alter,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,362,checkOptions,option original,,
43,option,option object,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,375,options,,,object
44,original,original option object,1,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,375,original,,,object
45,option equal,compare two option object return deep equal other. object plain object e g. model compare reference. everything else deep compare value,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/supportShim.js,375,optionsEqual,option original,true option original false,boolean
46,init test,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,40,initTests,,,
47,prepare transaction test,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,58,prepareTransactionTest,,,
48,create sequelize instance,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,89,createSequelizeInstance,,,
49,get connection option,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,115,getConnectionOptions,,,
50,get sequelize instance,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,123,getSequelizeInstance,,,
51,clear database,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,129,clearDatabase,,,
52,drop test schema,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,146,dropTestSchemas,,,
53,get support dialect,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,166,getSupportedDialects,,,
54,check match for dialect,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,171,checkMatchForDialects,,,
55,get abstract query generator,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,179,getAbstractQueryGenerator,,,
56,quote identifier,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,181,quoteIdentifier,,,
57,get test dialect,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,194,getTestDialect,,,
58,get test dialect teaser,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,208,getTestDialectTeaser,,,
59,get test url,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,218,getTestUrl,,,
60,expectsql,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/support.js,237,expectsql,,,
61,rand,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/config/config.js,22,rand,,,
62,qq,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,18,qq,,,
63,get connection uri,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,70,getConnectionUri,,,
64,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,460,logging,,,
65,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,491,logging,,,
66,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,499,logging,,,
67,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,508,logging,,,
68,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,592,logging,,,
69,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,603,logging,,,
70,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,617,logging,,,
71,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,637,logging,,,
72,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,738,logging,,,
73,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,747,logging,,,
74,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,1107,logging,,,
75,count,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,1279,count,,,
76,count,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/sequelize.test.js,1306,count,,,
77,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance.test.js,1232,get,,,
78,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance.test.js,1888,logging,,,
79,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance.test.js,1917,logging,,,
80,test success,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/data-types.test.js,60,testSuccess,,,
81,test failure,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/data-types.test.js,106,testFailure,,,
82,assert same connection,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/pool.test.js,10,assertSameConnection,,,
83,assert new connection,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/pool.test.js,30,assertNewConnection,,,
84,unwrap and attach mssql unique id,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/pool.test.js,51,unwrapAndAttachMSSQLUniqueId,,,
85,trans test,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/transaction.test.js,118,transTest,,,
86,new transaction func,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/transaction.test.js,440,newTransactionFunc,,,
87,new transaction func,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/transaction.test.js,460,newTransactionFunc,,,
88,sort by id,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/include.test.js,12,sortById,,,
89,create user and item,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/include.test.js,760,createUsersAndItems,,,
90,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/cls.test.js,124,logging,,,
91,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/json.test.js,42,logging,,,
92,filter mssql default,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/query-interface.test.js,64,filterMSSQLDefault,,,
93,custom fn,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance.validations.test.js,387,customFn,,,
94,custom fn,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance.validations.test.js,414,customFn,,,
95,xnor,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance.validations.test.js,468,xnor,,,
96,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance.validations.test.js,690,set,,,
97,be long enough,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance.validations.test.js,695,isLongEnough,,,
98,field,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,101,field,,,
99,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,510,get,,,
100,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,513,set,,,
101,price,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,533,price,,,
102,price,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,538,price,,,
103,price in cent,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,542,priceInCents,,,
104,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,556,set,,,
105,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,560,get,,,
106,price,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,564,price1,,,
107,price,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,567,price2,,,
108,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,866,logging,,,
109,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,893,logging,,,
110,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,1014,set,,,
111,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,1050,set,,,
112,run,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,1638,run,,,
113,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,1871,logging,,,
114,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,1959,logging,,,
115,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2080,logging,,,
116,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2170,logging,,,
117,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2239,logging,,,
118,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2246,logging,,,
119,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2269,logging,,,
120,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2282,logging,,,
121,run,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2314,run,,,
122,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2345,logging,,,
123,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2366,logging,,,
124,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2382,logging,,,
125,test async,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2708,testAsync,,,
126,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2844,get,,,
127,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model.test.js,2848,set,,,
128,expect read call,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/replication.test.js,47,expectReadCalls,,,
129,expect write call,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/replication.test.js,52,expectWriteCalls,,,
130,clone,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/utils.test.js,72,clone,,,
131,clone,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/utils.test.js,82,clone,,,
132,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/update.test.js,45,set,,,
133,email secret,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,86,email_secret,,,
134,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,238,get,,,
135,price,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,257,price,,,
136,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,273,get,,,
137,with tax,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,279,withTaxes,,,
138,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,297,get,,,
139,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,301,set,,,
140,rating,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,377,rating,,,
141,height,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/instance/values.test.js,392,height,,,
142,test,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create.test.js,398,test,,,
143,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create.test.js,806,logging,,,
144,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create.test.js,829,logging,,,
145,pad,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create.test.js,911,pad,,,
146,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create.test.js,937,logging,,,
147,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create.test.js,959,logging,,,
148,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create.test.js,1146,logging,,,
149,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/attributes.test.js,35,set,,,
150,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/json.test.js,42,logging,,,
151,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/bulk-create.test.js,151,logging,,,
152,custom validator,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/bulk-create.test.js,699,customValidator,,,
153,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/findAll.test.js,1427,get,,,
154,assert,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/increment.test.js,55,assert,,,
155,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/findOne.test.js,111,logging,,,
156,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/findOne.test.js,188,logging,,,
157,log,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/findOne.test.js,255,logging,,,
158,init,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/findOne.test.js,307,init,,,
159,set,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/attributes/types.test.js,19,set,,,
160,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/attributes/types.test.js,23,get,,,
161,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/attributes/types.test.js,29,get,,,
162,sql assert,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/attributes/types.test.js,46,sqlAssert,,,
163,after create,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create/include.test.js,17,afterCreate,,,
164,before create,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create/include.test.js,27,beforeCreate,,,
165,after create,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create/include.test.js,134,afterCreate,,,
166,after create,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create/include.test.js,146,afterCreate,,,
167,after create,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create/include.test.js,282,afterCreate,,,
168,after create,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/create/include.test.js,296,afterCreate,,,
169,with include function,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/scope/count.test.js,54,withIncludeFunction,,,
170,with include function and string association,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/scope/count.test.js,64,withIncludeFunctionAndStringAssociation,,,
171,include active project,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/model/scope/associations.test.js,36,includeActiveProjects,,,
172,before validate,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/hooks.test.js,115,beforeValidate,,,
173,after validate,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/hooks.test.js,120,afterValidate,,,
174,before create,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/hooks.test.js,145,beforeCreate,,,
175,after create,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/hooks.test.js,150,afterCreate,,,
176,before destroy,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/hooks.test.js,175,beforeDestroy,,,
177,after destroy,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/hooks.test.js,180,afterDestroy,,,
178,before update,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/hooks.test.js,207,beforeUpdate,,,
179,after update,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/hooks.test.js,212,afterUpdate,,,
180,get,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/destroy.test.js,87,get,,,
181,before destroy,,0,/home/zcl/Desktop/parametermismatch/dataset/sequelize/test/integration/hooks/destroy.test.js,94,beforeDestroy,,,
