args,params,similarity
error.message,args,0.1538
error.stack,args,0.1818
json,value,0
panel,excludedPanel,0.3077
submenuItem,item,0.2727
id,id,1
name,name,1
state,state,1
target,key,0.1667
selector,selector,1
selector,selector,1
selector,selector,1
selector,selector,1
item.submenu,template,0.3333
styleElement,styleElement,1
.loadSettingsJSON,value,0.1176
childValue,defaults,0.1
overlayProps,decoration,0.1667
value,object,0
value,object,0
error,error,1
item.command,command,0.5833
keystrokesByCommand,keystrokesByCommand,1
item.submenu,template,0.3333
keystrokesByCommand,keystrokesByCommand,1
.settings,value,0
settings,value,0
decoration.type,type,0.2667
decoration,decoration,1
marker,marker,1
screenRange,screenRange,1
reversed,reversed,1
b.position,otherCursor,0.0909
b,otherCursor,0
a,otherCursor,0
row,row,1
row,row,1
column,column,1
row,row,1
error.message,args,0.1538
error.stack,args,0.1818
event,event,1
template,template,1
buffer.id,key,0.1111
scope,selector,0.25
editor,editor,1
item,object,0.1667
command,command,1
event,event,1
screenPosition,position,0.5
event,event,1
key,key,1
name,name,1
bufferRange,bufferRange,1
options,options,1
keyPath,keyPath,1
options,options,1
filePath,filePath,1
container,container,1
row,row,1
lineNode,lineNode,1
textNodes,textNodes,1
columnsToMeasure,columnsToMeasure,1
positionsForLine,positions,0.5625
decoration,decoration,1
stateString,value,0.0909
position,screenPosition,0.5
options,options,1
options,options,1
options,options,1
filePath,filePath,1
sourceCode,sourceCode,1
filePath,filePath,1
spec,spec,1
gutter,gutter,1
oldDecorations,a,0.0714
newDecorations,b,0
oldDecorations,a,0.0714
newDecorations,b,0
bufferPath,path,0.3
filePath,filePath,1
languageChangeSubscription,editor,0.1538
tokenizeSubscription,editor,0.2
node.value,key,0.1
key,key,1
flashClass,editor,0
bufferSubscriptions,editor,0.2105
fsAdmin,fs,0.2857
commandPath,sourcePath,0.4545
destinationPath,destinationPath,1
callback,callback,1
keyPath,keyPath,1
schema,schema,1
keyPath,keyPath,1
schema,schema,1
item,editor,0.3333
source,source,1
otherPaneView,paneView,0.5385
spawnError,error,0.4
paneViewA,paneView,0.8889
paneViewB,paneView,0.8889
box.left,pointA,0.125
boxB.right,pointB,0.2
box.left,pointA,0.125
boxB.right,pointB,0.2
box.right,pointA,0.2222
boxB.left,pointB,0.1111
box.right,pointA,0.2222
boxB.left,pointB,0.1111
box.top,pointA,0.2857
boxB.bottom,pointB,0.1818
box.top,pointA,0.2857
boxB.bottom,pointB,0.1818
box.bottom,pointA,0.2
boxB.top,pointB,0.25
box.bottom,pointA,0.2
boxB.top,pointB,0.25
changes,changes,1
scopedSettings,newScopedSettings,0.7647
